### GDP_growth (sheet: NGDP_RPCH)
Year,美国(USA),中国(CHN),日本(JPN),德国(DEU),英国(GBR),法国(FRA),印度(IND),巴西(BRA),俄罗斯(RUS),南非(ZAF),加拿大(CAN),澳大利亚(AUS),韩国(KOR),墨西哥(MEX),印尼(IDN),土耳其(TUR),沙特(SAU),阿根廷(ARG),埃及(EGY),尼日利亚(NGA)
1980,-0.26,7.91,3.18,1.27,-2.05,1.81,6.74,9.19,NA,6.62,2.16,2.89,-1.52,9.48,9.88,-0.78,5.80,0.70,3.41,NA
1981,2.54,5.10,4.26,0.11,-0.69,1.19,6.01,-4.40,NA,5.36,3.50,4.13,7.40,9.59,7.60,4.37,2.98,-5.74,2.20,NA
1982,-1.80,9.00,3.28,-0.79,1.97,2.40,3.48,0.60,NA,-0.38,-3.17,0.06,8.47,-0.05,2.25,3.43,-16.11,-3.15,7.30,NA
1983,4.58,10.80,3.63,1.55,4.17,1.26,7.29,-3.40,NA,-1.85,2.56,-0.47,13.47,-4.62,4.19,4.76,-10.99,3.73,8.88,NA
1984,7.24,15.20,4.41,2.83,2.22,1.67,3.82,5.31,NA,5.10,5.90,6.35,10.64,3.51,7.57,6.82,-4.01,2.00,8.02,NA
1985,4.17,13.50,5.16,2.19,4.09,1.67,5.25,7.90,NA,-1.21,4.74,5.46,7.94,1.92,3.91,4.26,-7.21,-6.95,7.42,NA
1986,3.46,8.90,3.29,2.42,3.11,2.33,4.78,7.54,NA,0.02,2.12,2.45,11.50,-3.93,7.19,6.94,1.01,7.15,4.76,NA
1987,3.46,11.70,4.65,1.47,5.42,2.57,3.96,3.60,NA,2.10,4.07,4.89,12.89,2.06,6.57,10.03,-3.13,2.53,4.27,NA
1988,4.18,11.20,6.66,3.74,5.38,4.67,9.63,0.26,NA,4.20,4.41,4.25,12.13,1.22,6.98,2.12,6.60,-1.96,3.99,NA
1989,3.67,4.20,4.93,3.91,2.40,4.58,5.95,3.20,NA,2.40,2.34,4.63,7.17,3.62,9.09,0.25,0.41,-7.01,2.99,NA
1990,1.89,3.89,4.84,5.72,0.56,2.79,5.53,-4.17,NA,-0.32,0.20,1.49,10.03,5.25,9.00,9.26,9.43,-1.34,2.35,NA
1991,-0.11,10.20,3.52,5.01,-1.41,1.29,1.06,1.03,NA,-1.02,-2.09,-0.98,10.88,3.98,8.93,0.93,8.22,10.50,2.10,-0.55
1992,3.52,14.28,0.90,2.02,0.24,1.41,5.48,-0.47,NA,-2.14,0.89,2.59,6.35,3.57,6.52,5.98,4.58,10.30,0.30,2.19
1993,2.75,13.94,-0.46,-0.98,2.26,-0.42,4.75,4.67,-8.70,1.23,2.66,3.92,7.00,2.87,7.96,8.04,0.38,6.25,2.90,1.57
1994,4.03,13.10,1.08,2.60,3.41,2.40,6.66,5.33,-12.70,3.20,4.49,4.88,9.37,4.39,7.54,-5.46,0.95,5.83,4.19,0.26
1995,2.69,11.02,2.63,1.51,2.39,2.46,7.57,4.42,-4.10,3.10,2.68,2.95,9.74,-5.91,8.22,7.19,0.31,-2.85,4.48,1.87
1996,3.77,9.97,3.13,1.03,2.58,1.35,7.55,2.21,-3.58,4.30,1.69,3.97,7.99,6.22,7.82,7.01,3.31,5.53,4.88,4.05
1997,4.45,9.32,0.98,1.86,4.92,2.52,4.05,3.40,1.38,2.60,4.28,4.71,6.28,7.20,4.70,7.53,2.65,8.11,5.92,2.89
1998,4.48,7.93,-1.27,2.10,3.40,3.47,6.18,0.34,-5.32,0.50,3.89,4.67,-4.94,6.18,-13.13,3.09,2.80,3.85,7.54,2.50
1999,4.79,7.76,-0.33,2.13,3.06,3.26,8.85,0.47,6.35,2.40,5.14,4.44,11.62,2.75,0.79,-3.26,-0.63,-3.38,6.11,0.52
2000,4.08,8.57,2.77,2.88,4.34,4.36,3.84,4.39,10.05,4.20,5.14,3.10,9.20,5.03,4.98,6.93,4.72,-0.79,5.38,5.52
2001,0.96,8.32,0.39,1.63,2.57,1.85,4.82,1.39,5.08,2.70,1.88,2.60,4.73,-0.45,3.64,-5.75,0.34,-4.41,3.52,6.67
2002,1.70,9.21,0.04,-0.23,1.80,1.12,3.80,3.05,4.75,3.70,3.00,4.16,7.74,-0.24,4.50,6.45,-0.69,-10.89,3.19,14.60
2003,2.80,10.12,1.53,-0.54,3.15,0.99,7.86,1.14,7.36,2.95,1.81,3.02,3.08,1.19,4.78,5.76,8.77,8.96,3.19,9.50
2004,3.85,10.12,2.19,1.17,2.46,2.52,7.92,5.76,7.14,4.55,3.09,4.11,5.18,3.56,5.03,9.80,8.63,8.91,4.09,10.44
2005,3.48,11.44,1.80,0.88,2.73,1.99,7.92,3.20,6.40,5.28,3.21,3.03,4.36,2.11,5.69,8.99,5.95,8.85,4.47,7.01
2006,2.79,12.66,1.37,3.86,2.38,2.93,8.06,3.96,8.16,5.60,2.64,2.62,5.25,4.80,5.50,6.95,3.31,8.05,6.84,6.73
2007,2.00,14.15,1.48,2.89,2.62,2.49,7.66,6.07,8.55,5.36,2.05,4.34,5.84,2.08,6.34,5.04,2.21,9.01,7.09,7.32
2008,0.11,9.64,-1.22,0.91,-0.25,0.27,3.09,5.09,5.25,3.19,0.99,2.59,3.00,0.94,7.44,0.81,6.24,4.06,7.16,7.20
2009,-2.58,9.45,-5.69,-5.55,-4.62,-2.73,7.86,-0.13,-7.82,-1.54,-2.92,1.97,0.82,-6.29,4.70,-4.82,-1.07,-5.92,4.67,8.35
2010,2.69,10.59,4.10,4.15,2.23,1.84,8.50,7.53,4.51,3.04,3.09,2.42,6.98,4.97,6.38,8.43,5.04,10.12,5.15,11.26
2011,1.56,9.45,0.02,3.76,1.14,2.48,5.24,3.97,4.00,3.17,3.14,2.79,3.69,3.44,6.17,11.20,10.99,6.00,1.76,4.89
2012,2.29,7.85,1.38,0.47,1.51,0.22,5.46,1.92,4.02,2.40,1.76,3.79,2.55,3.55,6.03,4.79,5.41,-1.03,2.23,4.28
2013,2.12,7.77,2.00,0.39,1.80,0.92,6.39,3.00,1.75,2.48,2.33,2.22,3.29,0.85,5.56,8.49,2.54,2.40,3.30,5.39
2014,2.52,7.49,0.30,2.17,3.19,1.02,7.41,0.50,0.74,1.41,2.87,2.58,3.21,2.50,5.01,4.94,3.81,-2.51,2.93,6.31
2015,2.95,7.02,1.56,1.66,2.22,0.99,8.00,-3.55,-1.97,1.32,0.65,2.34,2.92,2.70,4.88,6.08,4.51,2.73,4.36,2.65
2016,1.82,6.78,0.75,2.29,1.92,0.73,8.26,-3.28,0.19,0.67,1.04,2.69,3.17,1.77,5.03,3.32,1.88,-2.08,4.34,-1.62
2017,2.46,6.89,1.68,2.71,2.66,2.29,6.79,1.32,1.83,1.16,3.03,2.38,3.43,1.87,5.07,7.50,0.91,2.82,4.19,0.81
2018,2.97,6.76,0.64,1.12,1.41,1.59,6.45,1.78,2.81,1.56,2.74,2.79,3.18,1.97,5.17,3.01,3.20,-2.62,5.33,1.92
2019,2.58,6.07,-0.40,0.99,1.62,2.08,3.87,1.22,2.20,0.26,1.91,1.94,2.31,-0.39,5.02,0.82,1.10,-2.00,5.55,2.21
2020,-2.16,2.34,-4.17,-4.10,-10.30,-7.59,-5.78,-3.28,-2.65,-6.17,-5.04,-1.96,-0.70,-8.35,-2.07,1.86,-3.58,-9.90,3.58,-1.79

### Inflation_CPI (sheet: PCPIPCH)
Year,美国(USA),中国(CHN),日本(JPN),德国(DEU),英国(GBR),法国(FRA),印度(IND),巴西(BRA),俄罗斯(RUS),南非(ZAF),加拿大(CAN),澳大利亚(AUS),韩国(KOR),墨西哥(MEX),印尼(IDN),土耳其(TUR),沙特(SAU),阿根廷(ARG),埃及(EGY),尼日利亚(NGA)
1980,13.50,NA,7.81,5.45,16.85,13.06,11.35,90.23,NA,14.24,10.18,10.14,28.70,26.47,18.02,110.64,4.40,NA,20.50,NA
1981,10.38,2.50,4.94,6.32,12.19,13.33,12.65,101.74,NA,15.92,12.46,9.49,21.35,28.03,12.24,36.36,3.59,NA,10.40,NA
1982,6.16,2.00,2.75,5.26,8.51,11.98,7.74,100.57,NA,13.98,10.80,11.35,7.19,59.12,9.48,31.11,1.87,NA,14.90,NA
