### GDP_growth 摘要
  美国(USA): 2005-2009: 1.16, 2010-2014: 2.24, 2015-2019: 2.56, 2020-2024: -2.16
  中国(CHN): 2005-2009: 11.47, 2010-2014: 8.63, 2015-2019: 6.7, 2020-2024: 2.34
  日本(JPN): 2005-2009: -0.45, 2010-2014: 1.56, 2015-2019: 0.85, 2020-2024: -4.17
  德国(DEU): 2005-2009: 0.6, 2010-2014: 2.19, 2015-2019: 1.75, 2020-2024: -4.1
  英国(GBR): 2005-2009: 0.57, 2010-2014: 1.98, 2015-2019: 1.97, 2020-2024: -10.3
  法国(FRA): 2005-2009: 0.99, 2010-2014: 1.3, 2015-2019: 1.53, 2020-2024: -7.59
  印度(IND): 2005-2009: 6.92, 2010-2014: 6.6, 2015-2019: 6.67, 2020-2024: -5.78
  巴西(BRA): 2005-2009: 3.64, 2010-2014: 3.39, 2015-2019: -0.5, 2020-2024: -3.28
  俄罗斯(RUS): 2005-2009: 4.11, 2010-2014: 3.0, 2015-2019: 1.01, 2020-2024: -2.65
  南非(ZAF): 2005-2009: 3.58, 2010-2014: 2.5, 2015-2019: 0.99, 2020-2024: -6.17
  加拿大(CAN): 2005-2009: 1.2, 2010-2014: 2.64, 2015-2019: 1.87, 2020-2024: -5.04
  澳大利亚(AUS): 2005-2009: 2.91, 2010-2014: 2.76, 2015-2019: 2.43, 2020-2024: -1.96
  韩国(KOR): 2005-2009: 3.85, 2010-2014: 3.94, 2015-2019: 3.0, 2020-2024: -0.7
  墨西哥(MEX): 2005-2009: 0.73, 2010-2014: 3.06, 2015-2019: 1.58, 2020-2024: -8.35
  印尼(IDN): 2005-2009: 5.94, 2010-2014: 5.83, 2015-2019: 5.03, 2020-2024: -2.07
  土耳其(TUR): 2005-2009: 3.4, 2010-2014: 7.57, 2015-2019: 4.15, 2020-2024: 1.86
  沙特(SAU): 2005-2009: 3.33, 2010-2014: 5.56, 2015-2019: 2.32, 2020-2024: -3.58
  阿根廷(ARG): 2005-2009: 4.81, 2010-2014: 3.0, 2015-2019: -0.23, 2020-2024: -9.9
  埃及(EGY): 2005-2009: 6.05, 2010-2014: 3.07, 2015-2019: 4.75, 2020-2024: 3.58
  尼日利亚(NGA): 2005-2009: 7.32, 2010-2014: 6.43, 2015-2019: 1.19, 2020-2024: -1.79

### Inflation_CPI 摘要
  美国(USA): 2005-2009: 2.59, 2010-2014: 1.99, 2015-2019: 1.55, 2020-2024: 1.25
  中国(CHN): 2005-2009: 2.64, 2010-2014: 3.2, 2015-2019: 2.0, 2020-2024: 2.49
  日本(JPN): 2005-2009: 0.01, 2010-2014: 0.4, 2015-2019: 0.52, 2020-2024: -0.03
  德国(DEU): 2005-2009: 1.79, 2010-2014: 1.63, 2015-2019: 1.21, 2020-2024: 0.37
  英国(GBR): 2005-2009: 2.5, 2010-2014: 2.92, 2015-2019: 1.53, 2020-2024: 0.85
  法国(FRA): 2005-2009: 1.73, 2010-2014: 1.57, 2015-2019: 0.99, 2020-2024: 0.53
  印度(IND): 2005-2009: 7.23, 2010-2014: 8.55, 2015-2019: 4.24, 2020-2024: 6.17
  巴西(BRA): 2005-2009: 5.05, 2010-2014: 5.92, 2015-2019: 5.72, 2020-2024: 3.21
  俄罗斯(RUS): 2005-2009: 11.42, 2010-2014: 6.99, 2015-2019: 6.72, 2020-2024: 3.38
  南非(ZAF): 2005-2009: 6.65, 2010-2014: 5.35, 2015-2019: 4.98, 2020-2024: 3.29
  加拿大(CAN): 2005-2009: 1.8, 2010-2014: 1.81, 2015-2019: 1.67, 2020-2024: 0.72
  澳大利亚(AUS): 2005-2009: 2.94, 2010-2014: 2.57, 2015-2019: 1.65, 2020-2024: 0.87
  韩国(KOR): 2005-2009: 2.99, 2010-2014: 2.35, 2015-2019: 1.1, 2020-2024: 0.54
  墨西哥(MEX): 2005-2009: 4.4, 2010-2014: 3.9, 2015-2019: 4.02, 2020-2024: 3.4
  印尼(IDN): 2005-2009: 8.91, 2010-2014: 5.45, 2015-2019: 3.96, 2020-2024: 2.03
  土耳其(TUR): 2005-2009: 8.65, 2010-2014: 8.06, 2015-2019: 11.62, 2020-2024: 12.28
  沙特(SAU): 2005-2009: 3.57, 2010-2014: 3.21, 2015-2019: 0.56, 2020-2024: 3.44
  阿根廷(ARG): 2005-2009: 8.85, 2010-2014: 10.22, 2015-2019: 37.83, 2020-2024: 42.02
  埃及(EGY): 2005-2009: 10.36, 2010-2014: 9.68, 2015-2019: 15.89, 2020-2024: 5.7
  尼日利亚(NGA): 2005-2009: 11.12, 2010-2014: 10.67, 2015-2019: 12.94, 2020-2024: 13.25

### Unemployment 摘要
  美国(USA): 2005-2009: 5.88, 2010-2014: 8.03, 2015-2019: 4.42, 2020-2024: 8.1
  中国(CHN): 2015-2019: 5.03, 2020-2024: 5.62
  日本(JPN): 2005-2009: 4.29, 2010-2014: 4.31, 2015-2019: 2.82, 2020-2024: 2.8
  德国(DEU): 2005-2009: 8.85, 2010-2014: 5.37, 2015-2019: 3.6, 2020-2024: 3.62
  英国(GBR): 2005-2009: 5.79, 2010-2014: 7.54, 2015-2019: 4.51, 2020-2024: 4.62
  法国(FRA): 2005-2009: 8.46, 2010-2014: 9.76, 2015-2019: 9.45, 2020-2024: 8.03
  印度(IND): 2015-2019: 8.19, 2020-2024: 8.66
  巴西(BRA): 2005-2009: 9.44, 2010-2014: 7.33, 2015-2019: 11.5, 2020-2024: 13.78
  俄罗斯(RUS): 2005-2009: 6.94, 2010-2014: 5.99, 2015-2019: 5.14, 2020-2024: 5.77
  南非(ZAF): 2005-2009: 23.48, 2010-2014: 24.88, 2015-2019: 27.07, 2020-2024: 29.18
  加拿大(CAN): 2005-2009: 6.83, 2010-2014: 7.5, 2015-2019: 6.4, 2020-2024: 9.74
  澳大利亚(AUS): 2005-2009: 4.8, 2010-2014: 5.45, 2015-2019: 5.57, 2020-2024: 6.47
  韩国(KOR): 2005-2009: 3.46, 2010-2014: 3.39, 2015-2019: 3.71, 2020-2024: 3.96
  墨西哥(MEX): 2005-2009: 4.0, 2010-2014: 5.04, 2015-2019: 3.69, 2020-2024: 4.41
  印尼(IDN): 2005-2009: 9.38, 2010-2014: 6.41, 2015-2019: 5.54, 2020-2024: 7.07
  土耳其(TUR): 2005-2009: 9.9, 2010-2014: 9.42, 2015-2019: 11.34, 2020-2024: 13.1
  沙特(SAU): 2005-2009: 5.7, 2010-2014: 5.63, 2015-2019: 5.75, 2020-2024: 7.65
  阿根廷(ARG): 2005-2009: 9.36, 2010-2014: 7.28, 2015-2019: 8.47, 2020-2024: 11.55
  埃及(EGY): 2005-2009: 9.93, 2010-2014: 11.66, 2015-2019: 11.47, 2020-2024: 8.3
  尼日利亚(NGA): 2010-2014: 7.88, 2015-2019: 15.6

### GDP_per_capita 摘要
  美国(USA): 2005-2009: 46753.49, 2010-2014: 51791.77, 2015-2019: 60841.24, 2020-2024: 64454.22
  中国(CHN): 2005-2009: 2804.62, 2010-2014: 6309.52, 2015-2019: 9140.34, 2020-2024: 10695.52
  日本(JPN): 2005-2009: 38230.01, 2010-2014: 44505.85, 2015-2019: 38743.74, 2020-2024: 40159.87
  德国(DEU): 2005-2009: 41297.65, 2010-2014: 46367.69, 2015-2019: 45380.18, 2020-2024: 47341.77
